Name,Platform,URL,Followers,EngagementRate,AvgViews,Niche,Email
Fitment Industries,YouTube,https://youtube.com/@FitmentIndustries,972000,2.51%,4100,Automotive,
Regular Car Reviews,YouTube,https://youtube.com/@RegularCars,960000,5.47%,34600,Automotive,
Indian Drive Guide,YouTube,https://youtube.com/@IndianDriveGuide,959000,2.57%,53200,Automotive,
3Dbotmaker,YouTube,https://youtube.com/@3Dbotmaker,957000,8.63%,122200,Automotive,
ScrapLifeLee,YouTube,https://youtube.com/@LeeC,956000,3.59%,349300,Automotive,
Toyota USA,YouTube,https://youtube.com/@toyotausa,954000,2.28%,5500,Automotive,
FindPotential,YouTube,https://youtube.com/@FindPotential,776000,2.55%,27300,Productivity,
CompleteTechnology,YouTube,https://youtube.com/@CompleteTechnology,756000,5.27%,9300,Productivity,
Mariana Vieira,YouTube,https://youtube.com/@mariana-vieira,747000,4.88%,4100,Productivity,
Jun Yuh,YouTube,https://youtube.com/@jun_yuh,736000,3.47%,8300,Productivity,
Hallden,YouTube,https://youtube.com/@Hallden_,678000,3.79%,5500,Productivity,
EOGlobal,YouTube,https://youtube.com/@eoglobal,671000,2.84%,14300,Productivity,
The Institute of Art and Ideas,YouTube,https://youtube.com/@TheInstituteOfArtAndIdeas,727000,3.61%,16300,Education,
Oxford Mathematics,YouTube,https://youtube.com/@OxfordMathematics,724000,4.11%,9100,Education,
Manish Verma,YouTube,https://youtube.com/@manishvermaugpg,686000,3.02%,14000,Education,
Hapiene,YouTube,https://youtube.com/@hapiene,673000,2.77%,225700,Education,
KotBatters,YouTube,https://youtube.com/@kotbatters,958000,2.96%,52600,Pets,
OderfliWFilm,YouTube,https://youtube.com/@oderfliWFilm,938000,14.35%,3400,Pets,
FavoriteFriends2022,YouTube,https://youtube.com/@favoritefriends2022,931000,3.58%,3800,Pets,
TheQuokkie,YouTube,https://youtube.com/@thequokkie,902000,3.05%,1200,Pets,
KampKenan,YouTube,https://youtube.com/@KampKenan,876000,10.74%,18800,Pets,
LittleLove666,YouTube,https://youtube.com/@LittleLove666,864000,7.64%,3400,Pets,
OlharDigital,YouTube,https://youtube.com/@OlharDigital,961000,7.35%,1700,AI Tech,
MrEflow,YouTube,https://youtube.com/@mreflow,939000,2.77%,15300,AI Tech,
LaterClips,YouTube,https://youtube.com/@LaterClips,934000,3.23%,22300,AI Tech,
DotCSV,YouTube,https://youtube.com/@DotCSV,913000,4.9%,113900,AI Tech,
Montemagno,YouTube,https://youtube.com/@mmontemagno,910000,3.75%,5500,AI Tech,
Linda Raynier,YouTube,https://youtube.com/@LindaRaynier,1000000,4.34%,2900,Self-Development,
UnJadedJade,YouTube,https://youtube.com/@UnJadedJade,979000,4.17%,53700,Self-Development,
JillzGuerin,YouTube,https://youtube.com/@JillzGuerin,937000,6.25%,38100,Self-Development,
MasculineMan,YouTube,https://youtube.com/@MasculineMan,921000,4.72%,87000,Self-Development,
La Pildora Magica,YouTube,https://youtube.com/@LaPíldoraMágica,914000,9.23%,7000,Self-Development,
WalkWithMeTim,YouTube,https://youtube.com/@WalkWithMeTim,997000,5.12%,320700,Travel,
Maibaru,YouTube,https://youtube.com/@maibaru,982000,2.55%,261000,Travel,
Rationalsociety,YouTube,https://youtube.com/@Rationalsociety,965000,8.01%,1200,Travel,
Hitchhiking Nomad,YouTube,https://youtube.com/@hitchhikingnomaad,947000,2.83%,73000,Travel,
Lornsamian,YouTube,https://youtube.com/@lornsamian,946000,6.79%,292500,Travel,
Mohamed Mahmoud Art,YouTube,https://youtube.com/@MohamedMahmoudArt,1000000,5.39%,98700,Home Decor,
ELLEUYDECOR,YouTube,https://youtube.com/@ELLEUYDECOR,1000000,2.42%,82800,Home Decor,
TatiDecora,YouTube,https://youtube.com/@TatiDecora,1000000,7.34%,185000,Home Decor,
AhmedThabetArt,YouTube,https://youtube.com/@ahmedthabetart,999000,4.26%,778,Home Decor,
Manualidades Para Ti,YouTube,https://youtube.com/@ManualidadesParaTiYusmari,998000,4.76%,5700,Home Decor,
VIP Collector,Instagram,https://instagram.com/vip.collector,972600,9.28%,90200,Automotive,
Tuesday LeRoux,Instagram,https://instagram.com/tuesday_leroux,970100,2.5%,24300,Automotive,
Loulu Teu,Instagram,https://instagram.com/loulu_teu,956700,4.49%,43000,Automotive,
MateriMac,Instagram,https://instagram.com/materimac,939600,4.32%,40600,Automotive,
Sylvain Lyve,Instagram,https://instagram.com/sylvain_lyve,890400,15.3%,136200,Automotive,
